Name,Value,Quantity,RefDes,Manufacturer,Part Number
CAP_E,47uF,1,C1,Nichicon,UVR1V470MDD1TD
CAP_C2,10uF,1,C2,TDK,FG11X7R1H106KRT06
CAP_C1,2.2nF,1,C3,TDK,FG18X7R1H222KNT00
CAP_C1,10nF,1,C4,TDK,FA18X7R1H103KNU00
CAP_E,100uF,1,C5,Nichicon,UVR1A101MDD1TD
CAP_C1,1uF,1,C6,TDK,FG18X7R1E105KRT00
CAP_C1,100nF,2,"C7, C8",TDK,FG14X7R2A104KNT06
DIODE_S,SB240,1,D1,Vishay,SB240-E3/54
DIODE,1N4007,2,"D2, D3",Vishay,1N4007-E3/54
CON_2P,2 Screw,2,"J1, J3",Phoenix Contact,1729128
CON_4P,4 Screw,1,J2,Phoenix Contact,1729144
CON_3P,3 Screw,2,"J4, J5",Phoenix Contact,1729131
HDR_2x12,2x12 Female,1,J6,3M,929975-01-12-RK
HDR_2x4,2x4 Female,1,J7,3M,929975-01-04-RK
ETH_MAG,Ethernet Mag,1,J8,Pulse,JD2-0010NL
RELAY,5V SPDT,1,K1,Omron,G5Q-14-DC5
INDUCTOR,33uH,1,L1,Coilcraft,RFC0810B-333KE
NPN,2N2222A,4,"Q1, Q2, Q3, Q5",ON Semiconductor,PN2222ATA
MOSFET_P,NDP6020P,1,Q4,ON Semiconductor,NDP6020P
RES,52k3,1,R1,Yageo,MFR-25FBF52-52K3
RES,10k,6,"R2, R4, R7, R10, R11, R14",Yageo,MFR-25FBF52-10K
RES,8.2k,1,R3,Yageo,MFR-25FBF52-8K2
RES,2.2k,3,"R5, R8, R16",Yageo,MFR-25FBF52-2K2
RES,4.3k,9,"R6, R9, R13, R15, R17, R18, R19, R21, R23",Yageo,MFR-25FBF52-4K3
RES,2.4k,3,"R12, R20, R22",Yageo,MFR-25FBF52-2K4
RES,56R,2,"R24, R25",Yageo,MFR-25FTE52-56R
POWER_IC,ACT4065ASH-T,1,U1,Qorvo,ACT4065ASH-T
