RefDes,Value,Name
C1,47uF,CAP_E2
C2,10uF,CAP_C2
C3,2.2nF,CAP_C1
C4,10nF,CAP_C1
C5,100uF,CAP_E1
C6,1uF,CAP_C1
D1,SB240,DIODE_S
J1,Ethernet,CON_ETH
J2,Power,CON_DC
L1,33uH,INDUCTOR
R1,52k,RES
R2,10k,RES
R3,8.2k,RES
U1,ACT4065A,ACT
U2,NanoPi Neo Core,NanoPi
J3,Reader,CON_6
J4,Bell,CON_2
J5,Contact,CON_2
J6,Lock,CON_2
J7,Relay,CON_3
Q1,2N2222A,NPN
Q2,2N2222A,NPN
Q3,2N2222A,NPN
Q4,NDP6020P,MOSFETP_D
R4,10k,RES
R5,2.2k,RES
R6,4.3k,RES
R7,10k,RES
R8,2.2k,RES
R9,4.3k,RES
R10,10k,RES
R11,10k,RES
R12,2.4k,RES
R13,4.3k,RES
R14,10k,RES
R15,4.3k,RES
R16,2.2k,RES
R17,4.3k,RES
R18,4.3k,RES
R19,4.3k,RES
Q5,2N2222A,NPN
R22,2.4k,RES
D2,IN4007,DIODE
R20,2.4k,RES
R21,4.3k,RES
R23,4.3k,RES
D3,IN4007,DIODE
K1,SRD-05VDC-SL-C,RELAY
